parcellation,space,level,n_parcels,symmetric,resolution,publication,license
HarvardOxfordSubcortical,MNI152NLin6Asym,subcortex,14,True,1mm,doi.org/10.1176/appi.ajp.162.7.1256; doi.org/10.1016/j.biopsych.2006.06.027,free
HarvardOxfordSubcortical,MNI152NLin2009cAsym,subcortex,14,True,1mm,doi.org/10.1176/appi.ajp.162.7.1256; doi.org/10.1016/j.biopsych.2006.06.027,free
BrainnetomeCortical,MNI152NLin6Asym,cortex,210,True,1mm,10.1093/cercor/bhw157,"non-commercial, attribution, share alike"
BrainnetomeSubcortical,MNI152NLin6Asym,subcortex,36,True,1mm,10.1093/cercor/bhw157,"non-commercial, attribution, share alike"
BrainnetomeCortical,MNI152NLin2009cAsym,cortex,210,True,1mm,10.1093/cercor/bhw157,"non-commercial, attribution, share alike"
BrainnetomeSubcortical,MNI152NLin2009cAsym,subcortex,36,True,1mm,10.1093/cercor/bhw157,"non-commercial, attribution, share alike"
BrainnetomeCortical,fsaverage,cortex,210,True,41k,10.1093/cercor/bhw157,"non-commercial, attribution, share alike"
BrainnetomeCortical,fsLR,cortex,210,True,32k,10.1093/cercor/bhw157,"non-commercial, attribution, share alike"
AALCortical,MNI152NLin6Asym,cortex,82,True,1mm,10.1016/j.neuroimage.2015.07.075,free
AALSubcortical,MNI152NLin6Asym,subcortex,12,True,1mm,10.1016/j.neuroimage.2015.07.075,free
AALCortical,MNI152NLin2009cAsym,cortex,82,True,1mm,10.1016/j.neuroimage.2015.07.075,free
AALSubcortical,MNI152NLin2009cAsym,subcortex,12,True,1mm,10.1016/j.neuroimage.2015.07.075,free
AALCortical,fsaverage,cortex,82,True,41k,10.1016/j.neuroimage.2015.07.075,free
AALCortical,fsLR,cortex,82,True,32k,10.1016/j.neuroimage.2015.07.075,free
